identifier1	identifier2	annotator	judgment	comment	lemma	timestamp	identifier1_system	identifier2_system
crippled_11	crippled_7	ajejohansson	2.0		crippled	2025-01-05 16:10:10.877	1394758	1394764
crippled_11	crippled_16	ajejohansson	2.0		crippled	2025-01-05 14:55:50.885	1394758	1394762
crippled_9	crippled_15	ajejohansson	2.0		crippled	2025-01-05 16:20:04.386	1394766	1394767
crippled_11	crippled_2	ajejohansson	2.0		crippled	2025-01-05 16:24:28.71	1394758	1394760
crippled_11	crippled_13	ajejohansson	2.0		crippled	2025-01-05 16:24:40.15	1394758	1394757
crippled_9	crippled_6	ajejohansson	2.0		crippled	2025-01-05 16:01:59.099	1394766	1394765
crippled_11	crippled_6	ajejohansson	2.0		crippled	2025-01-05 16:13:34.281	1394758	1394765
crippled_6	crippled_14	ajejohansson	2.0		crippled	2025-01-05 16:02:03.645	1394765	1394754
crippled_6	crippled_5	ajejohansson	4.0		crippled	2025-01-05 16:14:19.1	1394765	1394755
crippled_6	crippled_10	ajejohansson	2.0		crippled	2025-01-05 16:45:42.292	1394765	1394753
crippled_13	crippled_5	ajejohansson	3.0		crippled	2025-01-05 14:57:15.137	1394757	1394755
crippled_6	crippled_2	ajejohansson	4.0		crippled	2025-01-05 16:47:18.152	1394765	1394760
crippled_6	crippled_1	ajejohansson	2.0		crippled	2025-01-05 15:43:38.425	1394765	1394756
crippled_13	crippled_4	ajejohansson	3.0		crippled	2025-01-05 16:13:47.246	1394757	1394763
crippled_13	crippled_2	ajejohansson	3.0		crippled	2025-01-05 16:15:38.154	1394757	1394760
crippled_13	crippled_12	ajejohansson	4.0		crippled	2025-01-05 16:13:25.887	1394757	1394759
crippled_13	crippled_1	ajejohansson	2.0		crippled	2025-01-05 16:38:20.939	1394757	1394756
crippled_6	crippled_7	ajejohansson	4.0		crippled	2025-01-05 16:16:37.603	1394765	1394764
crippled_13	crippled_15	ajejohansson	3.0		crippled	2025-01-05 16:20:12.267	1394757	1394767
crippled_13	crippled_7	ajejohansson	3.0		crippled	2025-01-05 16:28:26.78	1394757	1394764
crippled_13	crippled_6	ajejohansson	3.0		crippled	2025-01-05 15:14:13.96	1394757	1394765
crippled_7	crippled_14	ajejohansson	2.0		crippled	2025-01-05 14:30:58.581	1394764	1394754
crippled_7	crippled_16	ajejohansson	4.0		crippled	2025-01-05 16:15:43.055	1394764	1394762
crippled_7	crippled_12	ajejohansson	4.0		crippled	2025-01-05 16:51:21.898	1394764	1394759
crippled_7	crippled_5	ajejohansson	4.0		crippled	2025-01-05 14:31:09.612	1394764	1394755
crippled_1	crippled_3	ajejohansson	2.0		crippled	2025-01-05 16:05:16.798	1394756	1394761
crippled_1	crippled_2	ajejohansson	2.0		crippled	2025-01-05 16:14:57.229	1394756	1394760
crippled_7	crippled_8	ajejohansson	2.0		crippled	2025-01-05 16:45:13.087	1394764	1394768
crippled_1	crippled_11	ajejohansson	3.0		crippled	2025-01-05 16:09:20.48	1394756	1394758
crippled_7	crippled_9	ajejohansson	2.0		crippled	2025-01-05 16:14:14.457	1394764	1394766
crippled_7	crippled_4	ajejohansson	4.0		crippled	2025-01-05 14:58:45.364	1394764	1394763
crippled_1	crippled_8	ajejohansson	2.0		crippled	2025-01-05 14:57:09.148	1394756	1394768
crippled_1	crippled_4	ajejohansson	2.0		crippled	2025-01-05 16:46:20.329	1394756	1394763
crippled_1	crippled_7	ajejohansson	2.0		crippled	2025-01-05 16:19:53.141	1394756	1394764
crippled_4	crippled_2	ajejohansson	4.0		crippled	2025-01-05 16:49:00.883	1394763	1394760
crippled_4	crippled_3	ajejohansson	4.0		crippled	2025-01-05 16:20:37.144	1394763	1394761
crippled_4	crippled_12	ajejohansson	4.0		crippled	2025-01-05 16:41:24.411	1394763	1394759
crippled_4	crippled_14	ajejohansson	2.0		crippled	2025-01-05 16:43:34.519	1394763	1394754
crippled_5	crippled_2	ajejohansson	4.0		crippled	2025-01-05 16:26:44.494	1394755	1394760
crippled_4	crippled_8	ajejohansson	2.0		crippled	2025-01-05 16:28:31.756	1394763	1394768
crippled_5	crippled_11	ajejohansson	2.0		crippled	2025-01-05 16:51:15.434	1394755	1394758
crippled_4	crippled_9	ajejohansson	2.0		crippled	2025-01-05 16:13:57.159	1394763	1394766
crippled_5	crippled_1	ajejohansson	2.0		crippled	2025-01-05 16:21:10.255	1394755	1394756
crippled_4	crippled_6	ajejohansson	4.0		crippled	2025-01-05 16:45:16.598	1394763	1394765
crippled_4	crippled_16	ajejohansson	4.0		crippled	2025-01-05 15:22:04.175	1394763	1394762
crippled_5	crippled_8	ajejohansson	2.0		crippled	2025-01-05 16:47:10.401	1394755	1394768
crippled_5	crippled_4	ajejohansson	4.0		crippled	2025-01-05 16:10:21.145	1394755	1394763
crippled_16	crippled_12	ajejohansson	4.0		crippled	2025-01-05 16:24:51.128	1394762	1394759
crippled_16	crippled_2	ajejohansson	4.0		crippled	2025-01-05 16:12:52.809	1394762	1394760
crippled_16	crippled_13	ajejohansson	3.0		crippled	2025-01-05 16:19:57.709	1394762	1394757
crippled_16	crippled_5	ajejohansson	4.0		crippled	2025-01-05 16:13:17.488	1394762	1394755
crippled_16	crippled_1	ajejohansson	2.0		crippled	2025-01-05 16:20:06.82	1394762	1394756
crippled_14	crippled_12	ajejohansson	2.0		crippled	2025-01-05 16:43:39.324	1394754	1394759
crippled_14	crippled_2	ajejohansson	2.0		crippled	2025-01-05 16:18:35.94	1394754	1394760
crippled_16	crippled_8	ajejohansson	2.0		crippled	2025-01-05 15:11:30.036	1394762	1394768
crippled_14	crippled_13	ajejohansson	2.0		crippled	2025-01-05 16:49:56.649	1394754	1394757
crippled_16	crippled_6	ajejohansson	4.0		crippled	2025-01-05 16:44:05.269	1394762	1394765
crippled_16	crippled_9	ajejohansson	2.0		crippled	2025-01-05 16:20:09.418	1394762	1394766
crippled_14	crippled_5	ajejohansson	2.0		crippled	2025-01-05 16:19:49.41	1394754	1394755
crippled_14	crippled_1	ajejohansson	4.0		crippled	2025-01-05 16:24:08.034	1394754	1394756
crippled_14	crippled_8	ajejohansson	2.0		crippled	2025-01-05 16:29:08.43	1394754	1394768
crippled_14	crippled_9	ajejohansson	2.0		crippled	2025-01-05 16:04:34.458	1394754	1394766
crippled_14	crippled_16	ajejohansson	2.0		crippled	2025-01-05 16:27:55.917	1394754	1394762
